Course_ID,Course_Name,Course_Type,Delivery_Mode,Class_Size,Difficulty_Rating,Instructor_ID,Instructor_Tenure,Instructor_Field,Student_ID,Year,Enrollment_Status,Overall_GPA,Grade_in_Course,Feedback_Text,Date_Submitted,Numeric_Rating_Instructor,Numeric_Rating_Course,Overall_Satisfaction,Cleaned_Feedback,Tokens,Tokens_NoStop,Lemmas,VADER_Scores,neg,neu,pos,compound,Sentiment_Label
CSE390,Enterprise-wide bi-directional initiative,Lab,In-Person,59.0,5.0,I3062,No,Biology,S74323,Sophomore,Part-time,2.35,B,"The professor was great, but the content was hard to follow.",2024-10-21,4.0,4.0,3.0,the professor was great but the content was hard to follow,"['the', 'professor', 'was', 'great', 'but', 'the', 'content', 'was', 'hard', 'to', 'follow']","['professor', 'great', 'content', 'hard', 'follow']","['professor', 'great', 'content', 'hard', 'follow']","{'neg': 0.122, 'neu': 0.684, 'pos': 0.194, 'compound': 0.2382}",0.122,0.684,0.194,0.2382,Positive
CSE291,Centralized impactful focus group,Lecture,Hybrid,99.0,5.0,I9385,Yes,Computer Science,S56004,Freshman,Part-time,3.21,B,Poor structure and lack of feedback made this class difficult.,2024-11-07,1.0,1.0,2.0,poor structure and lack of feedback made this class difficult,"['poor', 'structure', 'and', 'lack', 'of', 'feedback', 'made', 'this', 'class', 'difficult']","['poor', 'structure', 'lack', 'feedback', 'class', 'difficult']","['poor', 'structure', 'lack', 'feedback', 'class', 'difficult']","{'neg': 0.53, 'neu': 0.47, 'pos': 0.0, 'compound': -0.7845}",0.53,0.47,0.0,-0.7845,Negative
CSE266,Virtual directional hierarchy,Seminar,Online,51.0,5.0,I6435,Yes,History,S52372,Senior,Part-time,3.45,D,"The course content was fair, but nothing stood out.",2025-01-29,5.0,3.0,3.0,the course content was fair but nothing stood out,"['the', 'course', 'content', 'was', 'fair', 'but', 'nothing', 'stood', 'out']","['course', 'content', 'fair', 'stood']","['course', 'content', 'fair', 'stand']","{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.1655}",0.0,0.829,0.171,0.1655,Positive
CSE173,Digitized value-added utilization,Lecture,Hybrid,96.0,2.0,I4446,No,History,S58523,Senior,Full-time,3.26,D,"It was an average experience—not too hard, not too easy.",2024-11-13,3.0,1.0,4.0,it was an average experience—not too hard not too easy,"['it', 'was', 'an', 'average', 'experience', '—', 'not', 'too', 'hard', 'not', 'too', 'easy']","['average', 'experience', '—', 'hard', 'easy']","['average', 'experience', 'hard', 'easy']","{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.4226}",0.322,0.678,0.0,-0.4226,Negative
CSE160,Decentralized composite infrastructure,Lecture,Hybrid,64.0,2.0,I8466,No,Mathematics,S71384,Sophomore,Full-time,2.54,D,I struggled with the pace and the material was unclear.,2024-11-19,1.0,4.0,4.0,i struggled with the pace and the material was unclear,"['i', 'struggled', 'with', 'the', 'pace', 'and', 'the', 'material', 'was', 'unclear']","['struggled', 'pace', 'material', 'unclear']","['struggle', 'pace', 'material', 'unclear']","{'neg': 0.386, 'neu': 0.614, 'pos': 0.0, 'compound': -0.5267}",0.386,0.614,0.0,-0.5267,Negative
CSE369,Fundamental clear-thinking secured line,Seminar,Online,58.0,3.0,I6100,Yes,Biology,S41879,Sophomore,Part-time,2.92,D,"It was an average experience—not too hard, not too easy.",2024-10-04,4.0,5.0,1.0,it was an average experience—not too hard not too easy,"['it', 'was', 'an', 'average', 'experience', '—', 'not', 'too', 'hard', 'not', 'too', 'easy']","['average', 'experience', '—', 'hard', 'easy']","['average', 'experience', 'hard', 'easy']","{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.4226}",0.322,0.678,0.0,-0.4226,Negative
CSE412,Polarized systemic collaboration,Lecture,Hybrid,60.0,4.0,I6466,Yes,Psychology,S40481,Sophomore,Part-time,2.05,D,Poor structure and lack of feedback made this class difficult.,2025-02-07,1.0,1.0,1.0,poor structure and lack of feedback made this class difficult,"['poor', 'structure', 'and', 'lack', 'of', 'feedback', 'made', 'this', 'class', 'difficult']","['poor', 'structure', 'lack', 'feedback', 'class', 'difficult']","['poor', 'structure', 'lack', 'feedback', 'class', 'difficult']","{'neg': 0.53, 'neu': 0.47, 'pos': 0.0, 'compound': -0.7845}",0.53,0.47,0.0,-0.7845,Negative
CSE322,Synchronized holistic hub,Lab,Online,30.0,5.0,I7431,No,Psychology,S63590,Junior,Part-time,3.56,D,The course was disorganized and the professor was unhelpful.,2024-11-16,1.0,3.0,2.0,the course was disorganized and the professor was unhelpful,"['the', 'course', 'was', 'disorganized', 'and', 'the', 'professor', 'was', 'unhelpful']","['course', 'disorganized', 'professor', 'unhelpful']","['course', 'disorganized', 'professor', 'unhelpful']","{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}",0.216,0.784,0.0,-0.296,Negative
CSE325,Object-based intangible hub,Lab,Hybrid,76.0,1.0,I6032,Yes,Biology,S99165,Senior,Part-time,3.53,B,The course was disorganized and the professor was unhelpful.,2025-03-10,3.0,3.0,3.0,the course was disorganized and the professor was unhelpful,"['the', 'course', 'was', 'disorganized', 'and', 'the', 'professor', 'was', 'unhelpful']","['course', 'disorganized', 'professor', 'unhelpful']","['course', 'disorganized', 'professor', 'unhelpful']","{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}",0.216,0.784,0.0,-0.296,Negative
CSE429,Intuitive homogeneous time-frame,Seminar,In-Person,30.0,3.0,I2369,No,Computer Science,S60393,Sophomore,Part-time,2.92,B,I struggled with the pace and the material was unclear.,2024-11-12,5.0,3.0,5.0,i struggled with the pace and the material was unclear,"['i', 'struggled', 'with', 'the', 'pace', 'and', 'the', 'material', 'was', 'unclear']","['struggled', 'pace', 'material', 'unclear']","['struggle', 'pace', 'material', 'unclear']","{'neg': 0.386, 'neu': 0.614, 'pos': 0.0, 'compound': -0.5267}",0.386,0.614,0.0,-0.5267,Negative
CSE335,Extended dedicated forecast,Lab,Hybrid,39.0,3.0,I9293,Yes,Computer Science,S72457,Senior,Part-time,3.8,F,I liked the assignments but found the lectures boring.,2024-10-18,5.0,5.0,2.0,i liked the assignments but found the lectures boring,"['i', 'liked', 'the', 'assignments', 'but', 'found', 'the', 'lectures', 'boring']","['liked', 'assignments', 'found', 'lectures', 'boring']","['like', 'assignment', 'find', 'lecture', 'boring']","{'neg': 0.272, 'neu': 0.553, 'pos': 0.175, 'compound': -0.2617}",0.272,0.553,0.175,-0.2617,Negative
CSE231,Pre-emptive 6thgeneration software,Lab,Hybrid,83.0,3.0,I2645,Yes,Biology,S52386,Freshman,Part-time,2.68,D,I struggled with the pace and the material was unclear.,2024-11-09,2.0,2.0,3.0,i struggled with the pace and the material was unclear,"['i', 'struggled', 'with', 'the', 'pace', 'and', 'the', 'material', 'was', 'unclear']","['struggled', 'pace', 'material', 'unclear']","['struggle', 'pace', 'material', 'unclear']","{'neg': 0.386, 'neu': 0.614, 'pos': 0.0, 'compound': -0.5267}",0.386,0.614,0.0,-0.5267,Negative
CSE255,Centralized mobile support,Lecture,Hybrid,51.0,1.0,I3028,No,Computer Science,S78830,Senior,Part-time,2.15,A,"It was an average experience—not too hard, not too easy.",2024-12-25,1.0,5.0,4.0,it was an average experience—not too hard not too easy,"['it', 'was', 'an', 'average', 'experience', '—', 'not', 'too', 'hard', 'not', 'too', 'easy']","['average', 'experience', '—', 'hard', 'easy']","['average', 'experience', 'hard', 'easy']","{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.4226}",0.322,0.678,0.0,-0.4226,Negative
CSE210,Future-proofed uniform throughput,Lab,Hybrid,51.0,4.0,I9254,Yes,Biology,S83954,Junior,Full-time,3.45,B,Poor structure and lack of feedback made this class difficult.,2024-11-12,5.0,5.0,5.0,poor structure and lack of feedback made this class difficult,"['poor', 'structure', 'and', 'lack', 'of', 'feedback', 'made', 'this', 'class', 'difficult']","['poor', 'structure', 'lack', 'feedback', 'class', 'difficult']","['poor', 'structure', 'lack', 'feedback', 'class', 'difficult']","{'neg': 0.53, 'neu': 0.47, 'pos': 0.0, 'compound': -0.7845}",0.53,0.47,0.0,-0.7845,Negative
CSE120,Function-based attitude-oriented support,Seminar,Online,55.0,2.0,I5799,No,History,S47785,Freshman,Part-time,3.91,F,"It was an average experience—not too hard, not too easy.",2025-01-07,4.0,3.0,1.0,it was an average experience—not too hard not too easy,"['it', 'was', 'an', 'average', 'experience', '—', 'not', 'too', 'hard', 'not', 'too', 'easy']","['average', 'experience', '—', 'hard', 'easy']","['average', 'experience', 'hard', 'easy']","{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.4226}",0.322,0.678,0.0,-0.4226,Negative
CSE252,Synchronized object-oriented migration,Lab,In-Person,30.0,4.0,I3027,No,Computer Science,S18393,Senior,Part-time,3.43,B,The professor was very engaging and the course material was clear.,2025-02-20,1.0,3.0,1.0,the professor was very engaging and the course material was clear,"['the', 'professor', 'was', 'very', 'engaging', 'and', 'the', 'course', 'material', 'was', 'clear']","['professor', 'engaging', 'course', 'material', 'clear']","['professor', 'engage', 'course', 'material', 'clear']","{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.6478}",0.0,0.63,0.37,0.6478,Positive
CSE328,Enhanced 6thgeneration definition,Seminar,Online,66.0,1.0,I7605,No,Psychology,S47365,Sophomore,Part-time,2.69,F,I liked the assignments but found the lectures boring.,2024-11-26,1.0,1.0,2.0,i liked the assignments but found the lectures boring,"['i', 'liked', 'the', 'assignments', 'but', 'found', 'the', 'lectures', 'boring']","['liked', 'assignments', 'found', 'lectures', 'boring']","['like', 'assignment', 'find', 'lecture', 'boring']","{'neg': 0.272, 'neu': 0.553, 'pos': 0.175, 'compound': -0.2617}",0.272,0.553,0.175,-0.2617,Negative
CSE476,Triple-buffered uniform Internet solution,Lab,Online,41.0,3.0,I2133,No,Mathematics,S84230,Sophomore,Full-time,3.78,C,"It was an average experience—not too hard, not too easy.",2024-11-30,4.0,1.0,4.0,it was an average experience—not too hard not too easy,"['it', 'was', 'an', 'average', 'experience', '—', 'not', 'too', 'hard', 'not', 'too', 'easy']","['average', 'experience', '—', 'hard', 'easy']","['average', 'experience', 'hard', 'easy']","{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.4226}",0.322,0.678,0.0,-0.4226,Negative
CSE322,Mandatory radical info-mediaries,Lab,In-Person,81.0,1.0,I6052,Yes,Psychology,S62580,Senior,Full-time,2.25,F,I really enjoyed this class. It was well-organized and informative.,2025-01-31,5.0,2.0,4.0,i really enjoyed this class it was wellorganized and informative,"['i', 'really', 'enjoyed', 'this', 'class', 'it', 'was', 'wellorganized', 'and', 'informative']","['enjoyed', 'class', 'wellorganized', 'informative']","['enjoy', 'class', 'wellorganize', 'informative']","{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5563}",0.0,0.69,0.31,0.5563,Positive
CSE261,Cross-platform transitional open architecture,Seminar,In-Person,73.0,4.0,I4727,Yes,Biology,S69255,Senior,Full-time,2.29,D,"The professor was great, but the content was hard to follow.",2025-03-02,2.0,4.0,4.0,the professor was great but the content was hard to follow,"['the', 'professor', 'was', 'great', 'but', 'the', 'content', 'was', 'hard', 'to', 'follow']","['professor', 'great', 'content', 'hard', 'follow']","['professor', 'great', 'content', 'hard', 'follow']","{'neg': 0.122, 'neu': 0.684, 'pos': 0.194, 'compound': 0.2382}",0.122,0.684,0.194,0.2382,Positive
CSE272,Organized interactive model,Seminar,In-Person,52.0,2.0,I7598,No,Computer Science,S16451,Sophomore,Part-time,3.79,C,The course was disorganized and the professor was unhelpful.,2024-12-02,4.0,3.0,4.0,the course was disorganized and the professor was unhelpful,"['the', 'course', 'was', 'disorganized', 'and', 'the', 'professor', 'was', 'unhelpful']","['course', 'disorganized', 'professor', 'unhelpful']","['course', 'disorganized', 'professor', 'unhelpful']","{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}",0.216,0.784,0.0,-0.296,Negative
CSE154,Open-architected neutral groupware,Lab,Hybrid,58.0,1.0,I7426,Yes,Mathematics,S87723,Sophomore,Full-time,2.19,C,"It was an average experience—not too hard, not too easy.",2025-03-05,2.0,3.0,3.0,it was an average experience—not too hard not too easy,"['it', 'was', 'an', 'average', 'experience', '—', 'not', 'too', 'hard', 'not', 'too', 'easy']","['average', 'experience', '—', 'hard', 'easy']","['average', 'experience', 'hard', 'easy']","{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.4226}",0.322,0.678,0.0,-0.4226,Negative
CSE287,Right-sized contextually-based model,Lab,In-Person,91.0,2.0,I5188,Yes,Computer Science,S55175,Sophomore,Full-time,3.28,A,"It was an average experience—not too hard, not too easy.",2024-11-25,5.0,2.0,2.0,it was an average experience—not too hard not too easy,"['it', 'was', 'an', 'average', 'experience', '—', 'not', 'too', 'hard', 'not', 'too', 'easy']","['average', 'experience', '—', 'hard', 'easy']","['average', 'experience', 'hard', 'easy']","{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.4226}",0.322,0.678,0.0,-0.4226,Negative
CSE477,Visionary uniform extranet,Lab,Hybrid,21.0,3.0,I4654,No,Psychology,S54249,Junior,Full-time,2.41,B,"The course content was fair, but nothing stood out.",2025-01-27,2.0,3.0,2.0,the course content was fair but nothing stood out,"['the', 'course', 'content', 'was', 'fair', 'but', 'nothing', 'stood', 'out']","['course', 'content', 'fair', 'stood']","['course', 'content', 'fair', 'stand']","{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.1655}",0.0,0.829,0.171,0.1655,Positive
CSE131,Multi-tiered fault-tolerant project,Lab,In-Person,94.0,2.0,I9272,Yes,History,S67586,Senior,Full-time,2.55,F,Great experience! I learned a lot and felt supported.,2025-01-19,2.0,1.0,3.0,great experience i learned a lot and felt supported,"['great', 'experience', 'i', 'learned', 'a', 'lot', 'and', 'felt', 'supported']","['great', 'experience', 'learned', 'lot', 'felt', 'supported']","['great', 'experience', 'learn', 'lot', 'felt', 'support']","{'neg': 0.0, 'neu': 0.428, 'pos': 0.572, 'compound': 0.7712}",0.0,0.428,0.572,0.7712,Positive
CSE480,Fundamental bi-directional benchmark,Lecture,In-Person,74.0,5.0,I3566,Yes,Biology,S30231,Senior,Part-time,2.06,A,The course was disorganized and the professor was unhelpful.,2025-03-19,1.0,2.0,1.0,the course was disorganized and the professor was unhelpful,"['the', 'course', 'was', 'disorganized', 'and', 'the', 'professor', 'was', 'unhelpful']","['course', 'disorganized', 'professor', 'unhelpful']","['course', 'disorganized', 'professor', 'unhelpful']","{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}",0.216,0.784,0.0,-0.296,Negative
CSE491,Extended heuristic standardization,Lecture,Hybrid,64.0,1.0,I3203,No,Psychology,S33539,Freshman,Part-time,3.28,B,"The course content was fair, but nothing stood out.",2024-11-30,1.0,5.0,3.0,the course content was fair but nothing stood out,"['the', 'course', 'content', 'was', 'fair', 'but', 'nothing', 'stood', 'out']","['course', 'content', 'fair', 'stood']","['course', 'content', 'fair', 'stand']","{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.1655}",0.0,0.829,0.171,0.1655,Positive
CSE248,Compatible mission-critical project,Lab,Hybrid,94.0,2.0,I4815,Yes,Biology,S33645,Junior,Part-time,2.16,B,"The professor was great, but the content was hard to follow.",2025-01-21,5.0,5.0,3.0,the professor was great but the content was hard to follow,"['the', 'professor', 'was', 'great', 'but', 'the', 'content', 'was', 'hard', 'to', 'follow']","['professor', 'great', 'content', 'hard', 'follow']","['professor', 'great', 'content', 'hard', 'follow']","{'neg': 0.122, 'neu': 0.684, 'pos': 0.194, 'compound': 0.2382}",0.122,0.684,0.194,0.2382,Positive
CSE495,Synergized fault-tolerant data-warehouse,Lab,Online,24.0,4.0,I9639,Yes,Psychology,S69894,Junior,Full-time,3.44,D,"The professor was great, but the content was hard to follow.",2024-12-01,4.0,2.0,3.0,the professor was great but the content was hard to follow,"['the', 'professor', 'was', 'great', 'but', 'the', 'content', 'was', 'hard', 'to', 'follow']","['professor', 'great', 'content', 'hard', 'follow']","['professor', 'great', 'content', 'hard', 'follow']","{'neg': 0.122, 'neu': 0.684, 'pos': 0.194, 'compound': 0.2382}",0.122,0.684,0.194,0.2382,Positive
CSE370,Automated actuating ability,Lecture,In-Person,29.0,1.0,I5500,No,Computer Science,S57194,Junior,Part-time,3.14,D,I struggled with the pace and the material was unclear.,2025-03-16,4.0,3.0,1.0,i struggled with the pace and the material was unclear,"['i', 'struggled', 'with', 'the', 'pace', 'and', 'the', 'material', 'was', 'unclear']","['struggled', 'pace', 'material', 'unclear']","['struggle', 'pace', 'material', 'unclear']","{'neg': 0.386, 'neu': 0.614, 'pos': 0.0, 'compound': -0.5267}",0.386,0.614,0.0,-0.5267,Negative
CSE398,Front-line bottom-line functionalities,Seminar,In-Person,64.0,1.0,I5364,Yes,Mathematics,S98286,Junior,Full-time,3.4,F,"The professor was great, but the content was hard to follow.",2025-01-10,2.0,3.0,1.0,the professor was great but the content was hard to follow,"['the', 'professor', 'was', 'great', 'but', 'the', 'content', 'was', 'hard', 'to', 'follow']","['professor', 'great', 'content', 'hard', 'follow']","['professor', 'great', 'content', 'hard', 'follow']","{'neg': 0.122, 'neu': 0.684, 'pos': 0.194, 'compound': 0.2382}",0.122,0.684,0.194,0.2382,Positive
CSE198,Expanded analyzing time-frame,Lab,Hybrid,77.0,5.0,I3751,Yes,Psychology,S36911,Sophomore,Part-time,2.56,C,I liked the assignments but found the lectures boring.,2025-03-16,5.0,2.0,2.0,i liked the assignments but found the lectures boring,"['i', 'liked', 'the', 'assignments', 'but', 'found', 'the', 'lectures', 'boring']","['liked', 'assignments', 'found', 'lectures', 'boring']","['like', 'assignment', 'find', 'lecture', 'boring']","{'neg': 0.272, 'neu': 0.553, 'pos': 0.175, 'compound': -0.2617}",0.272,0.553,0.175,-0.2617,Negative
CSE218,Secured needs-based Graphic Interface,Lab,Online,74.0,4.0,I5161,No,Mathematics,S87247,Sophomore,Full-time,2.7,B,The professor was very engaging and the course material was clear.,2024-11-06,3.0,2.0,5.0,the professor was very engaging and the course material was clear,"['the', 'professor', 'was', 'very', 'engaging', 'and', 'the', 'course', 'material', 'was', 'clear']","['professor', 'engaging', 'course', 'material', 'clear']","['professor', 'engage', 'course', 'material', 'clear']","{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.6478}",0.0,0.63,0.37,0.6478,Positive
CSE373,Right-sized exuding groupware,Lecture,Hybrid,95.0,4.0,I3887,No,Mathematics,S41004,Junior,Part-time,3.35,C,"It was an average experience—not too hard, not too easy.",2024-11-18,4.0,4.0,5.0,it was an average experience—not too hard not too easy,"['it', 'was', 'an', 'average', 'experience', '—', 'not', 'too', 'hard', 'not', 'too', 'easy']","['average', 'experience', '—', 'hard', 'easy']","['average', 'experience', 'hard', 'easy']","{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.4226}",0.322,0.678,0.0,-0.4226,Negative
CSE270,Synergized homogeneous process improvement,Lab,In-Person,74.0,3.0,I7684,Yes,Biology,S40944,Senior,Full-time,3.41,B,There were highs and lows throughout the semester.,2024-11-23,4.0,3.0,1.0,there were highs and lows throughout the semester,"['there', 'were', 'highs', 'and', 'lows', 'throughout', 'the', 'semester']","['highs', 'lows', 'semester']","['highs', 'lows', 'semester']","{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.2023}",0.205,0.795,0.0,-0.2023,Negative
CSE120,Face-to-face zero administration architecture,Seminar,In-Person,44.0,1.0,I9402,Yes,History,S32464,Senior,Part-time,2.25,A,I struggled with the pace and the material was unclear.,2024-12-20,1.0,3.0,4.0,i struggled with the pace and the material was unclear,"['i', 'struggled', 'with', 'the', 'pace', 'and', 'the', 'material', 'was', 'unclear']","['struggled', 'pace', 'material', 'unclear']","['struggle', 'pace', 'material', 'unclear']","{'neg': 0.386, 'neu': 0.614, 'pos': 0.0, 'compound': -0.5267}",0.386,0.614,0.0,-0.5267,Negative
